216730, Majandus- ja Kommunikatsiooniministeerium, 2020-03-10, "Piksel OÜ", 300000.00, "Lennuohutuse järelevalve infosüsteemi arendus"
219671, sihtasutus Tartu Ülikooli Kliinikum, 2020-03-09, "aktsiaselts Andevis", 71760.00, "Personaliarvestuse tarkvara Virosoft hooldus"
218514, E-riigi Akadeemia Sihtasutus, 2020-03-06, "Mykhaylo Nikolov", 27550.00, "Procurement of Consulting Services on Development of a Web Tool for Applications in Connection wiht the EIS EB subsystem Information System SC ASC (“Vulyk”)"
217432, Tallinna Linnakantselei, 2020-01-31, "Atos IT Solutions and Services Oy Eesti filiaal", 384000.00, "Majandustarkvaral SAP põhineva Tallinna linna finantsinfosüsteemi arendus ja hooldustööd"
219059, Tallinna Linnakantselei, 2020-03-14, "KPMG Baltics OÜ", 40500.00, "Tallinna kinnisvarahalduse infosüsteemi äriinfotehnoloogilise analüüsi ja lähteülesande koostamine"
217057, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-03-17, "BrainArt OÜ", 98600.00, "Ilmateenistuse veebilehtede ja rakenduste loomine"
220095, Tervise Arengu Instituut, 2020-03-09, "OÜ Quretec", 222000.00, "ETRA platvormi lisauuendused"
217592, Hariduse Infotehnoloogia Sihtasutus, 2020-03-18, "Trinidad Wiseman OÜ", 600000.00, "Haridusasutuste veebilehtede ühtse platvormi teenuse arendustööd 2020-2024"
217071, Tallinna Tehnikaülikool, 2020-03-17, "Balti Meediamonitooringu Grupp OÜ", 90000.00, "Meediamonitooring"
220224, Tori Vallavalitsus, 2020-03-13, "Sunny IT Teenused OÜ", 5630.00, "ESET viirustõrje pikendamine ja soetus"
214754, Riigimetsa Majandamise Keskus, 2020-02-16, "SRINI OÜ", 1500000.00, "Metsaparanduse planeerimistarkvara arendamine"
219585, Sihtasutus Innove, 2020-03-20, "BlueGlass Interactive OÜ", 59999.00, "Education Nationi kodulehekülje arendamine"
221297, Tervise ja Heaolu Infosüsteemide Keskus, 2020-03-23, "Industry62 OÜ", 100000.00, "Tervise infosüsteemi arendus-ja hooldustööd seoses eriolukorraga"
219786, Ettevõtluse Arendamise Sihtasutus, 2020-03-23, "Telia Eesti AS", 34472.00, "HP seadmete tootetugi"
218587, Sihtasutus Eesti Meremuuseum, 2020-03-25, "TM Development osaühing", 28900.00, "Digitaalne Läänemere-teemaline õpimäng põhikooli II ja III astmele"
219772, Eesti Energia Aktsiaselts, 2020-03-20, "", , "Varunduslahenduse tootetoe ost"
215458, Majandus- ja Kommunikatsiooniministeerium, 2019-12-18, "Civitta Eesti AS", 34950.00, "Halduskoormuse kaardistamise, mõõtmise, monitoorimise ja prognoosimise analüüsi ja tööriista väljatöötamise hange"
218092, Elering AS, 2020-03-23, "", , "Maaomanike, töövõtjate ja võrguteenuse klientide infosüsteemi MTV arendus- ja hooldusteenused"
221541, Tervise ja Heaolu Infosüsteemide Keskus, 2020-03-30, "HEISI IT OÜ", 50000.00, "Arstiportaali arendus- ja hooldustööd seoses eriolukorraga"
